Date,Rented,Temp1,Temp2,Humidity,Wind_speed,Weather_code,Is_holiday,Is_weekend,Season
04.01.2015,9234,2.5,0.6,94.3,7.5,1,0,1,3
05.01.2015,20372,8,6.7,80.3,8.9,3,0,0,3
06.01.2015,20613,7.9,5.3,78.9,16,1,0,0,3
07.01.2015,21064,7.5,4.5,78.1,19.8,1,0,0,3
08.01.2015,15601,9.8,7.8,79.3,20.5,1,0,0,3
09.01.2015,22104,12.7,12.3,74.9,32.9,1,0,0,3
10.01.2015,14709,10.5,8.7,66.1,34.3,1,0,1,3
11.01.2015,14575,6.6,2.5,67.6,26.6,1,0,1,3
12.01.2015,17199,11.1,9.8,76.6,28.2,2,0,0,3
13.01.2015,24697,8.6,6.1,75.8,21.2,1,0,0,3
14.01.2015,23565,6.5,2.5,67.1,25.8,1,0,0,3
15.01.2015,22968,8.8,5.6,66.5,31.2,1,0,0,3
16.01.2015,22663,5.8,2.5,66.2,17.5,1,0,0,3
17.01.2015,15268,3.8,0.6,75.1,13.6,1,0,1,3
18.01.2015,13199,3.4,1.9,84.3,7,1,0,1,3
19.01.2015,23034,2.4,0.8,80,6.2,1,0,0,3
20.01.2015,23247,2.1,-0.2,82,9.2,1,0,0,3
21.01.2015,22782,3,-0.4,84.3,14.7,1,0,0,3
22.01.2015,23278,2.6,1,74.5,6.7,1,0,0,3
23.01.2015,21892,2.7,0,79.4,12.4,1,0,0,3
24.01.2015,17539,5.7,2.3,72.7,18.1,1,0,1,3
25.01.2015,15094,5.5,2.3,77.4,16.2,1,0,1,3
26.01.2015,22710,8.6,5.7,75.2,19,1,0,0,3
27.01.2015,25000,7,4.1,72.4,15.3,1,0,0,3
28.01.2015,21536,7,2.9,71,29.1,1,0,0,3
29.01.2015,21275,3.8,-1.3,73.5,26.6,1,0,0,3
30.01.2015,21171,4,0.2,77.1,17.5,1,0,0,3
31.01.2015,10250,3.4,-0.9,77.9,20.1,1,0,1,3
01.02.2015,11305,3.8,-0.9,67,24.8,1,0,1,3
02.02.2015,21640,1.3,-2.4,64.9,12.6,1,0,0,3
03.02.2015,19869,2.2,-1,85.5,11.8,1,0,0,3
04.02.2015,21850,2.9,-0.5,80.7,14.1,1,0,0,3
05.02.2015,21200,2.9,-0.9,78.1,16,1,0,0,3
06.02.2015,20955,2.7,-1.7,69.9,19.3,1,0,0,3
07.02.2015,13149,3.8,1,83,11.3,1,0,1,3
08.02.2015,15778,5.4,3.1,76.2,10.3,1,0,1,3
09.02.2015,23858,5.7,3.9,81.4,9.2,1,0,0,3
10.02.2015,23559,5.5,4.4,79.6,6.5,2,0,0,3
11.02.2015,23680,5,3.2,77.4,7.6,3,0,0,3
12.02.2015,23227,4,2.4,73.1,7.2,2,0,0,3
13.02.2015,17699,7,4,84.5,17.8,1,0,0,3
14.02.2015,14423,7.3,5.1,88.7,12.4,2,0,1,3
15.02.2015,16952,6.7,5.3,86.2,7.3,1,0,1,3
16.02.2015,16381,6,4.1,89.7,9.8,2,0,0,3
17.02.2015,25064,5.9,3.5,68.7,12.2,1,0,0,3
18.02.2015,25132,6.4,3.7,71.3,15.2,1,0,0,3
19.02.2015,16898,7.3,3.9,81.5,21.1,1,0,0,3
20.02.2015,20715,6.6,4.8,81.3,9.4,1,0,0,3
21.02.2015,16198,4.8,1.6,76.3,16.2,1,0,1,3
22.02.2015,9086,5.1,1.4,80.9,21.3,1,0,1,3
23.02.2015,21764,6.9,2.9,66.9,25.9,1,0,0,3
24.02.2015,23688,7.2,3.1,66.1,27,1,0,0,3
25.02.2015,21592,9.1,7.7,77.3,11.1,2,0,0,3
26.02.2015,20036,9.3,7.4,81.7,16.9,1,0,0,3
27.02.2015,24367,5.9,3.1,66.3,14.3,1,0,0,3
28.02.2015,13529,8.7,5.8,83.6,23.1,2,0,1,3
01.03.2015,15641,9.2,6.4,66.7,29.6,1,0,1,0
02.03.2015,22258,6.1,1.7,62.8,28.3,1,0,0,0
03.03.2015,23845,6.6,2.9,64.2,23,1,0,0,0
04.03.2015,24485,6.7,3.3,64.7,20.2,1,0,0,0
05.03.2015,24896,7.5,5.2,65.3,16.7,1,0,0,0
06.03.2015,25337,9.1,7.2,63.3,17.5,1,0,0,0
07.03.2015,27365,11,9.6,64.3,18.4,1,0,1,0
08.03.2015,20017,10,9,78.9,14.2,1,0,1,0
09.03.2015,24037,8.4,6.4,82.8,14.3,1,0,0,0
10.03.2015,27674,8.9,7.4,65.5,10.6,1,0,0,0
11.03.2015,27419,8.8,7.6,73.7,11.2,1,0,0,0
12.03.2015,28131,10,9,56.2,13.6,1,0,0,0
13.03.2015,25700,8.5,6.6,61.3,17.8,1,0,0,0
14.03.2015,18101,6.1,3,67,18,1,0,1,0
15.03.2015,10662,6.3,3.3,82.2,16.3,3,0,1,0
16.03.2015,19824,7,4.5,81.8,13.7,1,0,0,0
17.03.2015,25780,8.5,7.2,85.9,10.2,1,0,0,0
18.03.2015,26439,6.9,4.6,80.1,12.2,1,0,0,0
19.03.2015,24077,7.3,4.5,79.1,15.1,3,0,0,0
20.03.2015,25226,7.5,5.8,75.5,9.9,1,0,0,0
21.03.2015,16116,7.6,4.9,72,16.5,1,0,1,0
22.03.2015,18618,5.9,3.3,67.7,12.4,1,0,1,0
23.03.2015,25592,8,6.5,66.2,11.9,1,0,0,0
24.03.2015,24083,7.5,5.9,69.8,9.4,1,0,0,0
25.03.2015,25672,6.2,4.6,67.1,7.9,1,0,0,0
26.03.2015,20305,8.4,6.2,70.4,20.8,1,0,0,0
27.03.2015,26348,8.8,6.9,60.5,15.7,1,0,0,0
28.03.2015,18986,11.6,11.1,80.1,22.9,1,0,1,0
29.03.2015,8592,11.3,10.1,77.4,30.8,1,0,1,0
30.03.2015,22106,9.6,7.4,64.6,26.3,1,0,0,0
31.03.2015,22602,10.9,9.7,55.2,41.9,1,0,0,0
01.04.2015,23539,8.5,4.9,59.9,31.7,1,0,0,0
02.04.2015,22682,9.1,7.1,66.4,14.8,1,0,0,0
03.04.2015,11298,9.4,8.6,88.1,7.9,3,24,0,0
04.04.2015,12864,8.9,7,77.7,12.3,1,0,1,0
05.04.2015,19369,8.8,8.3,71.1,7,1,0,1,0
06.04.2015,25439,9.3,7.8,73.6,13.4,1,24,0,0
07.04.2015,29441,11.1,10.9,68.1,6.6,1,0,0,0
08.04.2015,30643,11.8,11.4,74,11,1,0,0,0
09.04.2015,31520,10.5,9.6,79.3,10.6,1,0,0,0
10.04.2015,32052,13,12.5,68,11.9,1,0,0,0
11.04.2015,25113,11.6,11.1,58.9,21.7,1,0,1,0
12.04.2015,29204,11.8,10.9,58.6,20.2,1,0,1,0
13.04.2015,28048,11.6,11.2,68.8,9.7,1,0,0,0
14.04.2015,34519,15.6,14.9,60.8,17.2,1,0,0,0
15.04.2015,37470,17.5,17.2,51.9,14.1,1,0,0,0
16.04.2015,30489,11.7,10.9,67,19.6,1,0,0,0
17.04.2015,29796,10.6,8.9,63.6,23.6,1,0,0,0
18.04.2015,29595,9.6,8.1,63.9,22.6,1,0,1,0
19.04.2015,19736,8.4,6.7,67.8,11.6,1,0,1,0
20.04.2015,32057,11.1,10.4,64.4,13.9,1,0,0,0
21.04.2015,34908,11.4,10.9,61.6,12.8,1,0,0,0
22.04.2015,32381,10.4,9.5,72.5,16.9,1,0,0,0
23.04.2015,32773,10.4,9,71.7,13.2,1,0,0,0
24.04.2015,32102,13,12.7,68.6,14.2,1,0,0,0
25.04.2015,25194,14.1,14.1,75.1,18.4,1,0,1,0
26.04.2015,19427,9.6,8.3,83.3,11.2,1,0,1,0
27.04.2015,30489,9.3,8.4,55.6,10.5,1,0,0,0
28.04.2015,31783,9.7,7.9,53.5,23,1,0,0,0
29.04.2015,26030,9.9,8,71.3,18.6,1,0,0,0
30.04.2015,31621,10.8,9.4,57.8,18.3,1,0,0,0
01.05.2015,29579,9.1,7.2,64.3,18.9,1,0,0,0
02.05.2015,22231,9.8,8.4,74.5,21.1,1,0,1,0
03.05.2015,21165,14.6,14.5,80.4,21.8,2,0,1,0
